	1962050.336	628822.12
	1962053.384	628828.6447
	1962053.217	628829.5175
	1962054.19	628829.4318
	1962054.812	628828.6426
	1962051.265	628821.5088
END		
35	1962049.646	628827.5276
	1962052.311	628829.5972
	1962049.59	628822.5804
	1962047.336	628824.1044
	1962048.18	628830.5696
	1962050.556	628830.8257
	1962052.311	628829.5972
END		
36	1962047.371	628823.4948
	1962049.59	628822.5804
	1962046.134	628822.9623
	1962046.736	628823.8288
	1962047.336	628824.1044
	1962049.59	628822.5804
END		
37	1962048.694	628822.2823
	1962049.59	628822.5804
	1962048.187	628821.4462
	1962047.076	628819.5623
	1962046.801	628819.5835
	1962047.707	628821.2147
	1962048.179	628822.2704
	1962047.858	628822.5839
	1962046.345	628822.7982
	1962046.134	628822.9623
	1962049.59	628822.5804
END		
38	1962046.632	628821.4127
	1962046.801	628819.5835
	1962046.581	628819.3578
	1962046.162	628819.3343
	1962045.481	628819.5262
	1962045.487	628820.0929
	1962045.246	628820.548
	1962045.191	628820.9735
	1962046.345	628822.7982
	1962047.858	628822.5839
	1962048.179	628822.2704
	1962047.707	628821.2147
	1962046.801	628819.5835
END		
39	1962044.917	628821.1514
	1962044.731	628820.1665
	1962044.27	628819.9442
	1962044.347	628820.9417
	1962044.999	628821.6892
	1962046.134	628822.9623
	1962046.345	628822.7982
	1962045.191	628820.9735
	1962044.934	628820.7023
	1962044.731	628820.1665
END		
40	1962046.126	628824.0612
	1962047.336	628824.1044
	1962046.736	628823.8288
	1962046.134	628822.9623
	1962044.999	628821.6892
	1962044.347	628820.9417
	1962044.352	628822.1853
