Cell data file for inSALMO,Dog Gulch site,,,
"From J. White, 8/19/2013",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
397,0.214,1.062,0.221,I
398,0.66,3.215,0.043,I
399,0.006,0.993,0,I
400,1,3.015,0.281,I
401,1,0.953,0.095,I
402,0,3.685,0.032,I
403,0.501,1.082,0.203,I
404,0,1.393,0,I
405,0.757,1.107,0,I
406,0.307,1.89,0.199,I
407,1,1.192,0,I
408,0.258,1.594,0,I
409,1,1.678,0.332,I
410,0.356,1.485,0.182,I
411,0.827,1.406,0,I
412,0.405,2.159,0,I
413,0.94,1.691,0,I
414,0.336,2.023,0,I
415,0.493,2.111,0,I
416,0,1.78,0,I
417,1,0.768,0,I
418,0,0.834,0,I
419,0,1.61,0.358,I
420,0.173,1.237,0,I
421,0.994,1.011,0,I
422,0,1.179,0,I
423,0.38,1.272,0.076,I
424,0.146,1.452,0,I
425,0.797,1.715,0.123,I
426,0.036,1.567,0.301,I
427,0.093,1.575,0,I
428,0.153,1.224,0,I
429,0,1.008,0,I
430,0.404,1.127,0,I
431,0.028,1.508,0,I
432,0,1.341,0,I
433,0.506,1.945,0,I
434,0.309,1.703,0,I
435,0.24,1.121,0.044,I
436,0.203,1.649,0,I
437,0.741,1.809,0,I
438,0,2.441,0,I
439,0,1.667,0,I
440,0,1.657,0,I
441,0.048,0.948,0.071,I
442,0.397,1.409,0,I
443,0.059,1.399,0.417,I
444,0,0.756,1,I
445,0.3,0.991,0,I
446,0.488,1.041,0.807,I
447,0.386,0.92,1,I
448,0.39,0.8,0.907,I
449,0.915,0.552,0.999,I
450,0,0.753,0.999,I
451,0.27,0.59,0.999,I
452,0.327,0.486,0.999,I
453,1,1.398,1,I
454,0,1.143,1,I
455,0,1.436,0.999,I
456,0.327,0.77,0.999,I
457,0,1.194,0.999,I
458,0,1.438,0.329,I
459,0,1.21,0.037,I
460,0.804,0.72,0,I
461,0.066,0.775,0,I
462,1,1.939,0.733,I
463,1,2.778,0.508,I
464,0.227,0.926,0.1,I
465,1,1.455,0.786,I
466,0,1.007,0.249,I
467,0.382,1.012,1,I
468,0.797,0.966,0.999,I
469,0.201,0.642,1,I
470,0,0.908,0.998,I
471,0.153,0.52,0.999,I
472,0.695,0.598,0.999,I
473,0,1.339,0.953,I
474,0,1.583,0.567,I
475,0.341,1.286,0.594,I
476,0.155,0.885,0.965,I
477,0.619,0.989,1,I
478,0.638,1.106,0.722,I
479,0.369,1.742,0.629,I
480,0.262,1.381,0.953,I
481,0.692,1.332,0.935,I
482,0,1.367,0.503,I
483,0.369,1.347,0.022,I
484,0.698,0.788,0.948,I
485,0.615,0.893,0,I
486,0.115,1.342,0.709,I
487,0,3.788,0.505,I
488,0.436,1.146,0.488,I
489,0,3.993,0.044,I
490,0.331,0.93,0.124,I
491,0.399,1.288,0.134,I
492,0,1.045,0.003,I
493,0.961,0.935,0,I
494,0.135,1.333,0,I
495,1,1.071,0.095,I
496,0,1.629,0.021,I
497,1,1.05,0.184,I
498,0.25,1.133,0.013,I
499,0,1.069,0.013,I
500,0,1.528,0.367,I
