	1961870.775	628739.8901
	1961870.166	628740.2605
	1961870.085	628740.4236
	1961874.461	628743.0723
	1961876.066	628744.1235
	1961879.712	628746.6966
	1961879.732	628746.5312
	1961876.683	628743.925
	1961872.709	628741.3947
	1961871.107	628740.0094
END		
33	1961874.846	628742.1962
	1961871.386	628739.3741
	1961870.185	628738.7948
	1961870.033	628739.081
	1961869.951	628739.2339
	1961870.775	628739.8901
	1961871.107	628740.0094
	1961872.709	628741.3947
	1961876.683	628743.925
	1961877.313	628744.4637
	1961878.17	628743.7866
	1961871.386	628739.3741
END		
34	1961874.626	628739.3849
	1961873.809	628736.4505
	1961871.386	628739.3741
	1961878.17	628743.7866
	1961879.452	628740.548
	1961873.809	628736.4505
END		
35	1961877.518	628735.4214
	1961876.191	628733.5003
	1961876.177	628735.8816
	1961873.809	628736.4505
	1961876.361	628738.3031
	1961878.916	628735.4651
	1961876.191	628733.5003
END		
36	1961879.143	628737.4983
	1961878.916	628735.4651
	1961876.361	628738.3031
	1961879.452	628740.548
	1961880.907	628739.9924
	1961881.225	628737.2936
	1961878.916	628735.4651
END		
37	1961878.922	628734.2919
	1961878.405	628733.0373
	1961876.191	628733.5003
	1961878.916	628735.4651
	1961879.811	628736.1737
	1961880.603	628734.1715
	1961878.405	628733.0373
END		
38	1961879.577	628732.8764
	1961878.855	628730.9338
	1961878.405	628733.0373
	1961880.603	628734.1715
	1961880.775	628732.1871
	1961878.855	628730.9338
END		
39	1961882.859	628736.5147
	1961880.603	628734.1715
	1961879.811	628736.1737
	1961881.225	628737.2936
	1961884.636	628738.0768
	1961885.636	628737.5688
	1961885.589	628736.5686
	1961880.603	628734.1715
END		
40	1961883.673	628734.5588
	1961880.652	628733.6069
	1961880.603	628734.1715
	1961885.589	628736.5686
	1961886.081	628734.6319
	1961883.303	628733.219
	1961880.652	628733.6069
END		
41	1961881.387	628732.9247
	1961882.405	628733.3503
	1961881.239	628731.9013
	1961880.412	628731.9505
	1961880.775	628732.1871
	1961880.652	628733.6069
	1961882.405	628733.3503
END		
42	1961886.53	628734.0884
	1961878.96	628730.0094
	1961878.855	628730.9338
	1961880.412	628731.9505
	1961881.239	628731.9013
	1961882.405	628733.3503
	1961883.303	628733.219
	1961886.081	628734.6319
	1961887.306	628735.1081
	1961888.446	628734.2667
	1961878.96	628730.0094
