
Model Run System Date and Time: Tue 10-Jan-2012 16:52:45

Scenario,Replicate,ModelDate,getReachSymbol,getSpecies,getAgeSymbol,Count,MeanLength,TotalWeight,MeanWeight
1,1,02/22/2003,ExampleSmallSite,Cutthroat,Age1,56,8.292354,394.535852,7.045283
1,1,02/22/2003,ExampleSmallSite,Cutthroat,Age2,15,12.287767,335.350089,22.356673
1,1,02/22/2003,ExampleSmallSite,Cutthroat,Age3Plus,7,18.098089,513.819321,73.402760
1,1,03/04/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,03/04/2003,ExampleSmallSite,Cutthroat,Age1,50,8.571415,388.859336,7.777187
1,1,03/04/2003,ExampleSmallSite,Cutthroat,Age2,14,12.658372,338.896804,24.206915
1,1,03/04/2003,ExampleSmallSite,Cutthroat,Age3Plus,7,18.361705,535.736442,76.533777
1,1,03/14/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,03/14/2003,ExampleSmallSite,Cutthroat,Age1,46,8.843398,393.419547,8.552599
1,1,03/14/2003,ExampleSmallSite,Cutthroat,Age2,13,12.911938,334.206419,25.708186
1,1,03/14/2003,ExampleSmallSite,Cutthroat,Age3Plus,7,18.681007,560.180649,80.025807
1,1,03/24/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,03/24/2003,ExampleSmallSite,Cutthroat,Age1,46,9.092296,426.186463,9.264923
1,1,03/24/2003,ExampleSmallSite,Cutthroat,Age2,13,13.063844,346.778796,26.675292
1,1,03/24/2003,ExampleSmallSite,Cutthroat,Age3Plus,5,18.542943,393.382442,78.676488
1,1,04/03/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,04/03/2003,ExampleSmallSite,Cutthroat,Age1,45,9.332548,450.497608,10.011058
1,1,04/03/2003,ExampleSmallSite,Cutthroat,Age2,12,13.182783,329.357979,27.446498
1,1,04/03/2003,ExampleSmallSite,Cutthroat,Age3Plus,5,18.649468,400.229632,80.045926
1,1,04/13/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,04/13/2003,ExampleSmallSite,Cutthroat,Age1,44,9.558208,466.488275,10.602006
1,1,04/13/2003,ExampleSmallSite,Cutthroat,Age2,12,13.286973,334.525669,27.877139
1,1,04/13/2003,ExampleSmallSite,Cutthroat,Age3Plus,5,18.789329,401.020028,80.204006
1,1,04/23/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,04/23/2003,ExampleSmallSite,Cutthroat,Age1,43,9.818606,489.800052,11.390699
1,1,04/23/2003,ExampleSmallSite,Cutthroat,Age2,12,13.519216,354.823244,29.568604
1,1,04/23/2003,ExampleSmallSite,Cutthroat,Age3Plus,5,19.028635,419.455541,83.891108
1,1,05/03/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,05/03/2003,ExampleSmallSite,Cutthroat,Age1,42,9.958129,501.551723,11.941708
1,1,05/03/2003,ExampleSmallSite,Cutthroat,Age2,12,13.667061,363.444020,30.287002
1,1,05/03/2003,ExampleSmallSite,Cutthroat,Age3Plus,5,19.133198,427.709063,85.541813
1,1,05/13/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,05/13/2003,ExampleSmallSite,Cutthroat,Age1,41,10.214994,538.052110,13.123222
1,1,05/13/2003,ExampleSmallSite,Cutthroat,Age2,12,13.870418,384.234768,32.019564
1,1,05/13/2003,ExampleSmallSite,Cutthroat,Age3Plus,5,19.332547,443.221718,88.644344
1,1,05/23/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,05/23/2003,ExampleSmallSite,Cutthroat,Age1,40,10.405387,559.297791,13.982445
1,1,05/23/2003,ExampleSmallSite,Cutthroat,Age2,12,14.071743,404.263874,33.688656
1,1,05/23/2003,ExampleSmallSite,Cutthroat,Age3Plus,5,19.589170,460.825374,92.165075
1,1,06/02/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,06/02/2003,ExampleSmallSite,Cutthroat,Age1,37,10.523571,533.222445,14.411417
1,1,06/02/2003,ExampleSmallSite,Cutthroat,Age2,12,14.388910,420.251836,35.020986
1,1,06/02/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,19.919267,388.266942,97.066736
1,1,06/12/2003,ExampleSmallSite,Cutthroat,Age0,15,2.903387,4.526773,0.301785
1,1,06/12/2003,ExampleSmallSite,Cutthroat,Age1,34,10.605260,502.846036,14.789589
1,1,06/12/2003,ExampleSmallSite,Cutthroat,Age2,12,14.584361,436.544551,36.378713
1,1,06/12/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,20.005424,390.441242,97.610311
1,1,06/22/2003,ExampleSmallSite,Cutthroat,Age0,329,3.173120,131.801785,0.400613
1,1,06/22/2003,ExampleSmallSite,Cutthroat,Age1,32,10.700722,487.229000,15.225906
1,1,06/22/2003,ExampleSmallSite,Cutthroat,Age2,11,14.786215,415.481575,37.771052
1,1,06/22/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,20.066025,391.504776,97.876194
1,1,07/02/2003,ExampleSmallSite,Cutthroat,Age0,559,3.440641,296.319643,0.530089
1,1,07/02/2003,ExampleSmallSite,Cutthroat,Age1,30,10.647903,450.641902,15.021397
1,1,07/02/2003,ExampleSmallSite,Cutthroat,Age2,11,14.872682,423.471891,38.497445
1,1,07/02/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,20.096479,392.974073,98.243518
1,1,07/12/2003,ExampleSmallSite,Cutthroat,Age0,487,3.792209,355.453784,0.729885
1,1,07/12/2003,ExampleSmallSite,Cutthroat,Age1,28,10.582909,414.216382,14.793442
1,1,07/12/2003,ExampleSmallSite,Cutthroat,Age2,10,14.845004,383.440655,38.344065
1,1,07/12/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,20.119764,395.485177,98.871294
1,1,07/22/2003,ExampleSmallSite,Cutthroat,Age0,557,3.770937,423.839353,0.760932
1,1,07/22/2003,ExampleSmallSite,Cutthroat,Age1,26,10.580537,383.070664,14.733487
1,1,07/22/2003,ExampleSmallSite,Cutthroat,Age2,10,14.862342,383.056910,38.305691
1,1,07/22/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,20.123453,394.850408,98.712602
1,1,08/01/2003,ExampleSmallSite,Cutthroat,Age0,439,4.128008,440.719861,1.003918
1,1,08/01/2003,ExampleSmallSite,Cutthroat,Age1,26,10.585816,380.032869,14.616649
1,1,08/01/2003,ExampleSmallSite,Cutthroat,Age2,9,15.008090,352.044184,39.116020
1,1,08/01/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,20.145235,391.926703,97.981676
1,1,08/11/2003,ExampleSmallSite,Cutthroat,Age0,319,4.625032,445.826486,1.397575
1,1,08/11/2003,ExampleSmallSite,Cutthroat,Age1,24,10.599100,349.223761,14.550990
1,1,08/11/2003,ExampleSmallSite,Cutthroat,Age2,9,15.008090,348.525258,38.725029
1,1,08/11/2003,ExampleSmallSite,Cutthroat,Age3Plus,4,20.166149,389.299917,97.324979
1,1,08/21/2003,ExampleSmallSite,Cutthroat,Age0,222,5.331164,444.023909,2.000108
1,1,08/21/2003,ExampleSmallSite,Cutthroat,Age1,24,10.606848,346.779901,14.449163
1,1,08/21/2003,ExampleSmallSite,Cutthroat,Age2,9,15.048876,349.933584,38.881509
1,1,08/21/2003,ExampleSmallSite,Cutthroat,Age3Plus,3,21.045113,325.978095,108.659365
1,1,08/31/2003,ExampleSmallSite,Cutthroat,Age0,206,5.602998,468.547187,2.274501
1,1,08/31/2003,ExampleSmallSite,Cutthroat,Age1,23,10.536539,323.815861,14.078950
1,1,08/31/2003,ExampleSmallSite,Cutthroat,Age2,9,15.071893,350.177056,38.908562
1,1,08/31/2003,ExampleSmallSite,Cutthroat,Age3Plus,3,21.045113,328.149330,109.383110
1,1,09/10/2003,ExampleSmallSite,Cutthroat,Age0,185,5.861303,470.044858,2.540783
1,1,09/10/2003,ExampleSmallSite,Cutthroat,Age1,21,10.386564,284.812709,13.562510
1,1,09/10/2003,ExampleSmallSite,Cutthroat,Age2,8,15.008105,307.369505,38.421188
1,1,09/10/2003,ExampleSmallSite,Cutthroat,Age3Plus,3,21.045113,329.510373,109.836791
1,1,09/20/2003,ExampleSmallSite,Cutthroat,Age0,163,6.049996,449.716801,2.758999
1,1,09/20/2003,ExampleSmallSite,Cutthroat,Age1,19,10.381283,253.781683,13.356931
1,1,09/20/2003,ExampleSmallSite,Cutthroat,Age2,8,15.045837,308.869584,38.608698
1,1,09/20/2003,ExampleSmallSite,Cutthroat,Age3Plus,3,21.045113,330.628980,110.209660
1,1,09/30/2003,ExampleSmallSite,Cutthroat,Age0,152,6.232990,453.530054,2.983750
1,1,09/30/2003,ExampleSmallSite,Cutthroat,Age1,19,10.381283,255.794856,13.462887
1,1,09/30/2003,ExampleSmallSite,Cutthroat,Age2,8,15.048491,306.173198,38.271650
1,1,09/30/2003,ExampleSmallSite,Cutthroat,Age3Plus,3,21.046417,332.308539,110.769513
1,1,10/10/2003,ExampleSmallSite,Cutthroat,Age0,141,6.421900,455.845882,3.232950
1,1,10/10/2003,ExampleSmallSite,Cutthroat,Age1,18,10.471577,250.921351,13.940075
1,1,10/10/2003,ExampleSmallSite,Cutthroat,Age2,8,15.048491,305.876016,38.234502
