Upper Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide,ReachEnd
325,0.1,0.2,0,0.5,I
326,0.05,0.5,0,0.35,I
327,0.05,0.5,0,0.35,I
328,0.05,0.5,0,0.35,I
329,0.5,0.2,0,0.5,I
330,0.5,0.2,0,0.5,I
331,0.15,0.75,0,0.3,I
332,0.03,3.75,0.02,0.01,I
333,0.03,3.75,0.02,0.01,I
334,0.2,0.8,0,0.1,I
335,0.2,0.8,0,0.1,I
336,0.2,0.8,0,0.1,I
337,0.2,0.8,0,0.1,I
338,0.2,0.8,0,0.1,I
339,0.2,0.8,0,0.1,I
340,0.2,0.8,0,0.1,I
341,0.2,0.8,0,0.1,I
342,0.2,0.8,0,0.1,I
343,0.1,0.1,0.01,0.75,I
344,0.1,0.1,0.01,0.75,I
345,0.01,3.75,0.02,0.01,I
346,0.01,3.75,0.02,0.01,I
347,0.1,0.2,0,0.5,I
348,0.01,3.75,0.02,0.01,I
349,0.2,0.8,0,0.1,I
350,0.2,0.8,0,0.1,I
351,0.01,3.75,0.02,0.01,I
352,0.01,3.75,0.02,0.01,I
353,0.01,3.75,0.02,0.01,I
354,0.01,3.75,0.02,0.01,I
355,0.01,3.75,0.02,0.01,I
356,0.3,0.8,0,0.05,I
357,0.2,0.4,0,0.6,I
358,0.2,0.4,0,0.6,I
359,0.01,0.6,0,0.3,I
360,0.15,0.75,0,0.3,I
361,0.15,0.75,0,0.3,I
362,0.03,3.75,0.02,0.01,I
363,0.03,3.75,0.02,0.01,I
364,0.3,0.8,0,0.05,I
365,0.03,3.75,0.02,0.01,I
366,0.03,3.75,0.02,0.01,I
367,0.03,3.75,0.02,0.01,I
368,0.03,3.75,0.02,0.01,I
369,0.03,3.75,0.02,0.01,I
370,0.03,3.75,0.02,0.01,I
371,0.3,0.3,0.01,0.15,I
372,0.1,1,0.15,0.3,I
373,0.1,1,0.15,0.3,I
374,0.01,3.75,0.02,0.01,I
375,0.1,1,0.15,0.3,I
376,0.1,1,0.15,0.3,I
377,0.1,1,0.15,0.3,I
378,0.01,3.75,0.02,0.01,I
379,0.01,3.75,0.02,0.01,I
380,0.01,3.75,0.02,0.01,I
381,0.03,3.75,0.02,0.01,I
382,0.03,3.75,0.02,0.01,I
383,0.03,3.75,0.02,0.01,I
384,0.2,0.4,0,0.6,I
385,0.2,0.4,0,0.6,I
386,0.2,0.4,0,0.6,I
387,0.2,0.4,0,0.6,I
388,0.2,0.4,0,0.6,I
389,0.15,0.75,0,0.3,I
390,0.15,0.75,0,0.3,I
391,0.15,0.75,0,0.3,I
392,0.15,0.75,0,0.3,I
393,0.03,3.75,0.02,0.01,I
394,0.03,3.75,0.02,0.01,I
395,0.03,3.75,0.02,0.01,I
396,0.03,3.75,0.02,0.01,I
397,0.03,3.75,0.02,0.01,I
398,0.03,3.75,0.02,0.01,I
399,0.03,3.75,0.02,0.01,I
400,0.03,3.75,0.02,0.01,I
401,0.03,3.75,0.02,0.01,I
402,0.4,0.3,0,0.3,I
403,0.1,1,0.15,0.3,I
404,0.01,3.75,0.02,0.01,I
405,0.01,3.75,0.02,0.01,I
406,0.15,0.4,0.01,0.3,I
407,0.1,1,0.15,0.3,I
408,0.03,3.75,0.02,0.01,I
409,0.03,3.75,0.02,0.01,I
410,0.03,3.75,0.02,0.01,I
411,0.03,3.75,0.02,0.01,I
412,0.15,1.5,0,0.02,I
413,0.01,0.3,0,0.6,I
414,0.15,1.5,0,0.02,I
415,0.01,0.3,0,0.6,I
416,0.15,0.75,0,0.3,I
417,0.15,0.75,0,0.3,I
418,0.15,0.75,0,0.3,I
419,0.01,0.3,0,0.6,I
420,0.15,0.75,0,0.3,I
421,0.03,3.75,0.02,0.01,I
422,0.03,3.75,0.02,0.01,I
423,0.03,3.75,0.02,0.01,I
424,0.03,3.75,0.02,0.01,I
425,0.03,3.75,0.02,0.01,I
426,0.03,3.75,0.02,0.01,I
427,0.03,3.75,0.02,0.01,I
428,0.03,3.75,0.02,0.01,I
429,0.4,0.3,0,0.3,I
430,0.1,0.3,0.01,0.5,I
431,0.03,3.75,0.02,0.01,I
432,0.15,0.4,0.01,0.3,I
433,0.03,3.75,0.02,0.01,I
434,0.03,3.75,0.02,0.01,I
435,0.15,0.4,0.01,0.3,I
436,0.1,0.3,0.01,0.5,I
437,0.15,0.4,0.01,0.3,I
438,0.03,3.75,0.02,0.01,I
439,0.03,3.75,0.02,0.01,I
440,0.03,3.75,0.02,0.01,I
441,0.03,3.75,0.02,0.01,I
442,0.03,3.75,0.02,0.01,I
443,0.03,3.75,0.02,0.01,I
444,0.03,3.75,0.02,0.01,I
445,0.01,0.3,0,0.6,I
446,0.01,0.3,0,0.6,I
447,0.01,0.3,0,0.6,I
448,0.01,0.3,0,0.6,I
449,0.01,0.3,0,0.6,I
450,0.15,0.75,0,0.3,I
451,0.03,3.75,0.02,0.01,I
452,0.01,0.3,0,0.6,I
453,0.03,3.75,0.02,0.01,I
454,0.01,0.3,0,0.6,I
455,0.01,0.3,0,0.6,I
456,0.4,0.3,0,0.3,I
457,0.4,0.3,0,0.3,I
458,0.15,1,0,0.2,I
459,0.15,0.4,0.01,0.3,I
460,0.15,0.4,0.01,0.3,I
461,0.05,1,0,0.15,I
462,0.03,3.75,0.02,0.01,I
463,0.03,3.75,0.02,0.01,I
464,0.15,0.4,0.01,0.3,I
465,0.15,0.4,0.01,0.3,I
466,0.15,0.4,0.01,0.3,I
467,0.03,3.75,0.02,0.01,I
468,0.15,0.4,0.01,0.3,I
469,0.03,3.75,0.02,0.01,I
470,0.02,0.5,0.3,0.4,I
471,0.02,0.5,0.3,0.4,I
472,0.02,0.5,0.3,0.4,I
473,0.02,0.5,0.3,0.4,I
474,0.02,0.5,0.3,0.4,I
475,0.01,0.3,0,0.6,I
476,0.02,0.5,0.3,0.4,I
477,0.01,0.3,0,0.6,I
478,0.03,3.75,0.02,0.01,I
479,0.03,3.75,0.02,0.01,I
480,0.02,0.5,0.3,0.4,I
481,0.05,1,0,0.15,I
482,0.1,1.5,0,0.1,I
483,0.4,0.3,0,0.3,I
484,0.1,1.5,0,0.1,I
485,0.1,1.5,0,0.1,I
486,0.05,1,0,0.15,I
487,0.15,1,0,0.2,I
488,0.1,1.5,0,0.1,I
489,0.15,0.4,0.01,0.3,I
490,0.15,0.4,0.01,0.3,I
491,0.15,0.4,0.01,0.3,I
492,0.15,0.4,0.01,0.3,I
493,0.15,0.4,0.01,0.3,I
494,0.05,1,0,0.15,I
495,0.01,3,0,0.01,I
496,0.01,3,0,0.01,I
497,0.01,3,0,0.01,I
498,0.02,0.5,0.3,0.4,I
499,0.2,0.5,0,0.2,I
500,0.02,0.5,0.3,0.4,I
501,0.02,0.5,0.3,0.4,I
502,0.02,0.5,0.3,0.4,I
503,0.02,0.5,0.3,0.4,I
504,0.02,0.5,0.3,0.4,I
505,0.02,0.5,0.3,0.4,I
506,0.02,0.5,0.3,0.4,I
507,0.05,1,0,0.15,I
508,0.15,0.4,0.01,0.3,I
509,0.05,2,0,0.05,I
510,0.05,2,0,0.05,I
511,0.05,2,0,0.05,I
512,0.05,1,0,0.15,I
513,0.05,2,0,0.05,I
514,0.05,2,0,0.05,I
515,0,5,0,0,I
516,0,5,0,0,I
517,0.15,0.4,0.01,0.3,I
518,0.15,0.4,0.01,0.3,I
519,0.15,0.4,0.01,0.3,I
520,0.05,1,0,0.15,I
521,0,5,0,0,I
522,0.01,3,0,0.01,I
523,0.01,3,0,0.01,I
524,0.01,2,0,0.05,I
525,0.01,2,0,0.05,I
526,0.01,3,0,0.01,I
527,0.01,2,0,0.05,I
528,0.01,2,0,0.05,I
529,0.01,3,0,0.01,I
530,0.01,3,0,0.01,I
531,0.02,0.5,0.3,0.4,I
532,0.02,0.5,0.3,0.4,I
533,0.02,0.5,0.3,0.4,I
534,0.02,0.5,0.3,0.4,I
535,0.02,0.5,0.3,0.4,I
536,0.02,0.5,0.3,0.4,I
537,0.02,0.5,0.3,0.4,I
538,0.05,1,0,0.15,I
539,0.05,1,0,0.15,I
540,0.05,1,0,0.15,I
541,0.4,0.3,0,0.3,I
542,0.4,0.3,0,0.3,I
543,0.15,2,0,0.05,I
544,0.4,0.3,0,0.3,I
545,0.01,4,0.05,0.01,I
546,0.01,4,0.05,0.01,I
547,0,5,0,0,I
548,0,5,0,0,I
549,0,5,0,0,I
550,0,5,0,0,I
551,0,5,0,0,I
552,0.05,1,0,0.15,I
553,0,5,0,0,I
554,0,5,0,0,I
555,0.2,0.5,0,0.2,I
556,0.01,2,0,0.05,I
557,0.01,2,0,0.05,I
558,0.01,2,0,0.05,I
559,0.01,2,0,0.05,I
560,0.01,2,0,0.05,I
561,0.01,2,0,0.05,I
562,0.01,2,0,0.05,I
563,0.01,2,0,0.05,I
564,0.02,3.75,0.01,0.01,I
565,0.01,2,0,0.05,I
566,0.02,3.75,0.01,0.01,I
567,0.01,2,0,0.05,I
568,0.02,3.75,0.01,0.01,I
