Lower Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide,FracSpawn,FracHide,ReachEnd
484,0.2,0.2,0,0.6,I
485,0.01,0.5,0,0.5,I
486,0.08,2,0,0.02,I
487,0.08,2,0,0.02,I
488,0.01,0.5,0,0.5,I
489,0.08,2,0,0.01,I
490,0.01,2,0,0.02,I
491,0.01,2,0,0.02,I
492,0.01,2,0,0.02,I
493,0,1.5,0.25,0.05,I
494,0,1.5,0.25,0.05,I
495,0,1.5,0.25,0.05,I
496,0,1.5,0.25,0.05,I
497,0,1.5,0.25,0.05,I
498,0.2,0.5,0,0.2,I
499,0.2,0.5,0,0.2,I
500,0.02,10,0,0.01,I
501,0.01,5,0,0,I
502,0.2,0.5,0,0.2,I
503,0.2,0.5,0,0.2,I
504,0.2,0.5,0,0.2,I
505,0.2,0.5,0,0.2,I
506,0.2,0.5,0,0.2,I
507,0.8,0,0,1,I
508,0.8,0,0,1,I
509,0.8,0,0,1,I
510,0.1,2.5,0.01,0.01,I
511,0.03,1,0,0.05,I
512,0.05,1,0,0.05,I
513,0.02,0.5,0,0.1,I
514,0.01,0.5,0,0.5,I
515,0.01,5,0,0,I
516,0.01,0.5,0,0.5,I
517,0.01,5,0,0,I
518,0.01,3,0,0.01,I
519,0.01,3,0,0.01,I
520,0.01,2,0,0.02,I
521,0,1.5,0.25,0.05,I
522,0,1.5,0.25,0.05,I
523,0,0.75,0.1,0.1,I
524,0,0.75,0.1,0.1,I
525,0,1.5,0.25,0.05,I
526,0.2,0.5,0,0.2,I
527,0.2,0.5,0,0.2,I
528,0.01,4,0,0,I
529,0.01,4,0,0,I
530,0.2,0.5,0,0.2,I
531,0.2,0.5,0,0.2,I
532,0.2,0.5,0,0.2,I
533,0.2,0.5,0,0.2,I
534,0.8,0,0,1,I
535,0.8,0,0,1,I
536,0.8,0,0,1,I
537,0.8,0,0,1,I
538,0.05,1.5,0.2,0.02,I
539,0.05,1.5,0.2,0.01,I
540,0.05,1,0,0.05,I
541,0.05,1.5,0.2,0.01,I
542,0.05,1,0,0.05,I
543,0.05,2,0,0.01,I
544,0.01,3,0,0,I
545,0.05,2,0,0.01,I
546,0.01,4,0,0,I
